teamId,teamCity,teamName,teamAbbrev,seasonFounded,seasonActiveTill,league
9013,All-Star,Team Durant,DRT  ,2021,2022,NBA
9015,Washington,Capitols,WAS  ,1949,1949,NBA
9015,Washington,Capitols,WAS  ,1946,1948,BAA
9059,Chicago,Stags,CHS  ,1949,1950,NBA
9017,Cleveland,Rebels,CLR  ,1946,1948,BAA
9063,Sheboygan,Redskins,SHE  ,1949,1950,NBA
9019,Shanghai,Sharks,SDS  ,1996,2100,CBA
9012,St. Louis,Bombers,BOM  ,1949,1950,NBA
9021,Rome,Virtus Lottomatica,ROM  ,1960,2020,LBA
9028,Anderson,Packers,AND  ,1949,1950,NBA
9023,Istanbul,Fenerbahce,FEN  ,1913,2100,EuroLeague
1610612752,New York,Knicks,NYK  ,1949,2100,NBA
9025,All-Star,Team Giannis,GNS  ,2019,2023,NBA
1610612744,Philadelphia,Warriors,PHI  ,1949,1961,NBA
9027,Adelaide,36ers,ADL  ,1982,2100,NBL
9029,Auckland,Breakers,NZB  ,2003,2100,NBL
9031,Istanbul,Fenerbahce Ulker,FBU  ,2006,2015,EuroLeague
9033,East,NBA All-Stars,EST  ,1951,2100,NBA
9035,Athens,Panathinaikos,PAN  ,1919,2100,EuroLeague
9037,Cairns,Taipans,CNS  ,1999,2100,NBL
9039,All-Star,Team LeBron,LBN  ,2018,2100,NBA
9041,Barcelona,Regal FC Barcelona,BAR  ,2011,2013,EuroLeague
9043,All-Star,Team Giannis,GNS  ,2019,2100,NBA
9045,Bilbao,Bilbao Basket,UBB  ,2000,2100,EuroCup
9047,Madrid,Real Madrid,RMA  ,1931,2100,EuroLeague
9049,Buenos Aires,San Lorenzo,SLA  ,1936,2100,Liga Nacional
1610612755,Syracuse,Nationals,SYR  ,1946,1948,NBL
9051,Haifa,Maccabi Haifa,MAC  ,1953,2100,Israeli Premier League
1610612737,Tri-Cities,Blackhawks,TRI  ,1948,1950,NBA
9053,Madrid,Baloncesto (Real Madrid),RMD  ,1931,2100,EuroLeague
9055,Milan,EA7 Emporio Armani Milano,EAM  ,2011,2019,EuroLeague
9057,Shanghai,Shanghai Sharks,SDS  ,1996,2100,CBA
9059,Chicago,Stags,CHS  ,1946,1948,BAA
9061,Moscow,CSKA,MOS  ,1923,2100,EuroLeague
9063,Sheboygan,Redskins,SHE  ,1938,1948,BAA
9065,Madrid,Real Madrid,RMD  ,1931,2100,EuroLeague
9067,West,NBA All-Stars,WST  ,1951,2100,NBA
9002,Waterloo,Hawks,WAT  ,1949,1948,NBL
9004,Barcelona,FC Barcelona Regal,FCB  ,1926,2100,EuroLeague
9006,Belgrade,Partizan,PAR  ,1945,2100,EuroLeague
9008,Indianapolis,Jets,JET  ,1948,1948,BAA
9010,Khimki,BC Khimki,KHI  ,1997,2100,VTB United League
9012,St. Louis,Bombers,BOM  ,1946,1948,BAA
9014,Franca (Brazil),SESI/Franca,FRA  ,1959,2100,NBB
9016,Brisbane,Bullets,BNE  ,1979,2100,NBL
9018,Vilnius,Lietuvos Rytas,LRY  ,1997,2100,EuroCup
9020,Detroit,Falcons,DEF  ,1946,1948,BAA
9022,Barcelona,Winterthur FC Barcelona,BAR  ,2005,2007,EuroLeague
9024,Vitoria-Gasteiz,Caja Laboral (Baskonia),LAB  ,2009,2013,Liga ACB
9026,Lyon-Villeurbanne,Adecco ASVEL,LYV  ,1948,2100,EuroLeague
9028,Anderson,Packers,AND  ,1946,1948,NBL
9030,Milan,Armani Jeans Milano,MLN  ,2008,2011,EuroLeague
9032,Perth,Wildcats,PER  ,1982,2100,NBL
9034,Sydney,Kings,SYD  ,1988,2100,NBL
9036,China,Team China,CHN  ,1936,2100,CBA
9038,Malaga,Unicaja,MAL  ,1977,2100,EuroCup
9040,All-Star,All-Star LeBron,LBN  ,2018,2100,NBA
9042,Toronto,Huskies,HUS  ,1946,1948,BAA
9044,Berlin,ALBA Berlin,ALB  ,1991,2100,EuroLeague
9046,Madrid,MMT Estudiantes,MMT  ,2007,2011,EuroLeague
9048,Guangzhou,Long-Lions,GUA  ,2010,2100,CBA
9050,Melbourne,United,MEL  ,2014,2100,NBL
9052,Tel Aviv,Maccabi Elite,MTA  ,1969,2008,EuroLeague
9054,Tel Aviv,Maccabi Electra,MTA  ,2008,2015,EuroLeague
9056,Providence,Steamrollers,PRO  ,1946,1948,BAA
9058,Indianapolis,Olympians,INO  ,1949,1948,BAA
9060,Rio de Janeiro,Flamengo,FLA  ,1919,2100,Liga Nacional
9062,All-Star,Team Stephen,STP  ,2018,2018,NBA
9064,Kaunas,Zalgiris,ZAK  ,1944,2100,EuroLeague
9066,Raanana,Maccabi Ra anana,MRA  ,1980,2100,Israeli Premier League
