personId,firstName,lastName,birthDate,school,country,heightInches,bodyWeightLbs,jersey,guard,forward,center,dleagueFlag,nbaFlag,gamesPlayedFlag,draftYear,draftRound,draftNumber,fromYear,toYear
1629061,Deng,Adel,1997-02-01,Louisville,South Sudan,79,200,32,0,1,0,1,1,1,2018,,,2018,2018
200846,Kenny,Adeleke,,,,,,,0,0,0,,,,,,,,
76015,Rick,Adelman,1946-06-16,Loyola-Marymount,USA,74,175,5,1,0,0,0,1,1,1968,7,79,1968,1974
27025,Kyle,Adnam,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2017,2017
64049,Kyle,Adnam,,,,,,,0,0,0,,,,,,,,
196294137,Jeff,Adrien,,,,,,,0,0,0,,,,,,,,
202399,Jeff,Adrien,1986-02-10,Connecticut,USA,79,245,,0,1,0,1,1,1,-1,-1,-1,2010,2014
201167,Arron,Afflalo,1985-10-15,UCLA,USA,77,210,4,1,0,0,0,1,1,2007,1,27,2007,2017
1630534,Ochai,Agbaji,2000-04-20,Kansas,USA,77,215,30,1,0,0,1,1,1,2022,1,14,2022,
200772,Maurice,Ager,1984-02-09,Michigan State,USA,77,202,,1,1,0,1,1,1,2006,1,28,2006,2010
1962936108,Pablo,Aguilar,,,,,,,0,0,0,,,,,,,,
203196,Ronnie,Aguilar,,,,,,,0,0,0,,,,,,,,
1966938162,Gustavo,Aguirre,,,,,,,1,0,0,,,,,,,,
76016,Mark,Aguirre,1959-12-10,DePaul,USA,78,232,7,0,1,0,0,1,1,1981,1,1,1981,1993
52600,Gustavo Nicolas,Agurre,1988-03-31,,,,,,0,0,0,0,0,1,-1,-1,-1,2016,2016
201336,Blake,Ahearn,1984-05-27,Missouri State,USA,74,190,2,1,0,0,1,1,1,-1,-1,-1,2007,2011
76017,Danny,Ainge,1959-03-17,Brigham Young,USA,77,175,22,1,0,0,0,1,1,1981,2,31,1981,1994
201582,Alexis,Ajinca,1988-05-06,Hyeres-Toulon,France,86,248,42,0,0,1,1,1,1,2008,1,20,2008,2017
76018,Henry,Akin,1944-07-31,Morehead State,USA,82,225,10,0,0,1,0,1,1,1966,2,11,1966,1967
101224,Deji,Akindele,,,,,,,0,0,0,,,,,,,,
200836,Akin,Akingbala,,,,,,,0,0,0,,,,,,,,
1631231,James,Akinjo,2000-11-27,Baylor,USA,,,,0,0,0,1,0,1,-1,-1,-1,,
1962937763,Josh,Akognon,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2017,2017
203006,Josh,Akognon,1986-02-10,California State-Fullerton,USA,71,185,10,1,0,0,1,1,1,-1,-1,-1,2012,2012
203191,Josh,Akognon,,,,,,,0,0,0,,,,,,,,
1629152,DeVaughn,Akoon-Purcell,1993-06-05,Illinois State,Trinidad and Tobago,78,200,,1,1,0,1,1,1,2016,,,2018,2018
574,Cenk,Akyol,,,,,,,0,0,0,,,,,,,,
202374,Solomon,Alabi,1988-03-21,Florida State,Nigeria,85,252,50,0,0,1,1,1,1,2010,2,50,2010,2011
76019,Mark,Alarie,1963-12-11,Duke,USA,80,217,31,0,1,0,0,1,1,1986,1,18,1986,1990
196294581,Eidan,Alber,,,,,,,0,0,0,,,,,,,,
1966938138,Augusto,Alcassa,,,,,,,0,0,0,,,,,,,,
76020,Gary,Alcorn,1936-10-08,Fresno State,USA,81,225,24,0,0,1,0,1,1,1959,3,16,1959,1960
1630583,Santi,Aldama,2001-01-10,Loyola-Maryland,Spain,84,215,7,0,1,1,1,1,1,2021,1,30,2021,
203128,Furkan,Aldemir,1991-08-09,Galatasaray,Turkey,82,240,19,0,1,1,0,1,1,2012,2,53,2014,2014
202332,Cole,Aldrich,1988-10-31,Kansas,USA,83,253,45,0,0,1,1,1,1,2010,1,11,2010,2017
200746,LaMarcus,Aldridge,1985-07-19,University of Texas at Austin,USA,83,250,21,0,1,1,0,1,1,2006,1,2,2006,2021
76021,Chuck,Aleksinas,1959-02-26,Connecticut,USA,83,260,50,0,0,1,0,1,1,1982,4,76,1984,1984
101243,Chris,Alexander,,,,,,,0,0,0,,,,,,,,
1626146,Cliff,Alexander,1995-11-16,Kansas,USA,80,240,34,0,1,0,1,1,1,-1,-1,-1,2015,2015
724,Cory,Alexander,1973-06-22,Virginia,USA,73,190,12,1,0,0,0,1,1,1995,1,29,1995,2004
2042,Courtney,Alexander,1977-04-27,Fresno State,USA,77,205,32,1,0,0,0,1,1,2000,1,13,2000,2003
2650,Demetrius,Alexander,,,,,,,0,0,0,,,,,,,,
76022,Gary,Alexander,1969-11-01,South Florida,USA,79,240,16,0,1,0,0,1,1,-1,-1,-1,1993,1993
201570,Joe,Alexander,1986-12-26,West Virginia,USA,80,230,20,0,1,0,1,1,1,2008,1,8,2008,2009
1629734,Kyle,Alexander,1996-10-21,Tennessee,Canada,82,216,17,0,1,1,1,1,1,-1,-1,-1,2019,2019
1641725,Trey,Alexander,2003-05-02,Creighton,USA,77,185,23,1,0,0,1,1,1,-1,-1,-1,2024,
1630234,Ty-Shon,Alexander,1998-07-16,Creighton,USA,75,195,0,1,0,0,1,1,1,-1,-1,-1,2020,2020
2349,Victor,Alexander,1969-08-31,Iowa State,USA,82,265,9,0,1,0,0,1,1,1991,1,17,1991,2001
1629638,Nickeil,Alexander-Walker,1998-09-02,Virginia Tech,Canada,77,205,7,1,0,0,1,1,1,2019,1,17,2019,
1962937930,Carlos,Alexandre,,,,,,,0,0,0,,,,,,,,
1628576,Bryce,Alford,1995-01-18,UCLA,USA,,,,0,0,0,1,0,1,-1,-1,-1,,
76024,Steve,Alford,1964-11-23,Indiana,USA,74,183,4,1,0,0,0,1,1,1987,2,26,1987,1990
1628959,Rawle,Alkins,1997-10-29,Arizona,USA,77,225,20,1,0,0,1,1,1,-1,-1,-1,2018,2018
76028,Bob,Allen,1946-07-17,Marshall,USA,81,205,50,0,1,0,0,1,1,1968,6,71,1968,1968
1628960,Grayson,Allen,1995-10-08,Duke,USA,75,198,8,1,0,0,1,1,1,2018,1,21,2018,
1628386,Jarrett,Allen,1998-04-21,Texas,USA,81,243,31,0,0,1,0,1,1,2017,1,22,2017,
43229,Jeff,Allen,1987-06-12,,,,,,0,0,0,0,0,1,-1,-1,-1,2014,2014
706,Jerome,Allen,1973-01-28,Pennsylvania,USA,76,184,53,1,0,0,0,1,1,1995,2,49,1995,1996
1628443,Kadeem,Allen,1993-01-15,Arizona,USA,73,200,,1,0,0,1,1,1,2017,2,53,2017,2019
202730,Lavoy,Allen,1989-02-04,Temple,USA,81,260,5,0,1,1,1,1,1,2011,2,50,2011,2016
76027,Lucius,Allen,1947-09-26,UCLA,USA,74,175,42,1,0,0,0,1,1,1969,1,3,1969,1978
2124,Malik,Allen,1978-06-27,Villanova,USA,82,255,35,0,1,0,0,1,1,-1,-1,-1,2001,2010
1629305,Marcus,Allen,,,,,,,0,0,0,,,,,,,,
76025,Randy,Allen,1965-01-26,Florida State,USA,80,220,33,0,1,0,0,1,1,-1,-1,-1,1988,1989
951,Ray,Allen,1975-07-20,Connecticut,USA,77,205,34,1,0,0,0,1,1,1996,1,5,1996,2013
203206,Ryan,Allen,,,,,,,0,0,0,,,,,,,,
1641851,Timmy,Allen,2000-01-09,Texas,USA,78,210,,0,1,0,1,1,1,-1,-1,-1,2023,2023
2754,Tony,Allen,1982-01-11,Oklahoma State,USA,76,213,,1,1,0,0,1,1,2004,1,25,2004,2017
196295497,Akech,Allir,1995-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,,
76029,Odis,Allison,1949-10-02,UNLV,USA,78,195,22,0,1,0,0,1,1,1971,5,76,1971,1971
200984,Lance,Allred,1981-02-02,Weber State,USA,83,250,41,0,0,1,1,1,1,-1,-1,-1,2007,2007
76030,Darrell,Allums,1958-09-12,UCLA,USA,80,220,32,0,1,0,0,1,1,1980,5,103,1980,1980
201165,Morris,Almond,1985-02-02,Rice,USA,78,225,21,1,0,0,1,1,1,2007,1,25,2007,2011
64001,Amit,Alon,,,,,,,0,0,0,,,,,,,,
196295494,Yonatan,Alon,,,,,,,0,0,0,,,,,,,,
308,Derrick,Alston,1972-08-20,Duquesne,USA,83,225,,0,0,1,0,1,1,1994,2,33,1994,1996
1747,Rafer,Alston,1976-07-24,Fresno State,USA,74,175,11,1,0,0,1,1,1,1998,2,39,1999,2009
1630247,Derrick,Alston Jr.,1997-09-17,Boise State,USA,,,,0,0,0,1,0,1,-1,-1,-1,,
43309,Can,Altintig,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2014,2014
43191,Ben,Altit,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2014,2014
1824,Peter,Aluma,1973-04-26,Liberty,USA,82,260,,0,0,1,0,1,1,-1,-1,-1,1998,1998
1630631,Jose,Alvarado,1998-04-12,Georgia Tech,USA,72,179,5,1,0,0,1,1,1,-1,-1,-1,2021,
680,John,Amaechi,1970-11-26,Penn State,United Kingdom,82,270,13,0,1,1,0,1,1,-1,-1,-1,1995,2002
732,Ashraf,Amaya,1971-11-23,Southern Illinois,USA,80,230,,0,1,0,0,1,1,-1,-1,-1,1995,1996
202329,Al-Farouq,Aminu,1990-09-21,Wake Forest,USA,80,220,5,0,1,0,0,1,1,2010,1,8,2010,2020
1966938153,Gil,Amitay,,,,,,,0,0,0,,,,,,,,
200811,Lou,Amundson,1982-12-07,UNLV,USA,81,220,17,0,1,0,1,1,1,-1,-1,-1,2006,2015
76034,Bob,Anderegg,1937-08-24,Michigan State,USA,75,200,18,0,1,0,0,1,1,1959,3,20,1959,1959
525,Andersen,Andersen,,,,,,,0,0,0,,,,,,,,
2365,Chris,Andersen,1978-07-07,Blinn J.C.,USA,82,245,,0,1,1,0,1,1,-1,-1,-1,2001,2016
2431,David,Andersen,1980-06-23,FC Barcelona,Australia,83,247,,0,0,1,0,1,1,2002,2,36,2009,2017
56004,David,Andersen,,,,,,,0,0,0,,,,,,,,
101187,Alan,Anderson,1982-10-16,Michigan State,USA,78,220,,1,1,0,,,,-1,-1,-1,2005,2016
41628,Alan,Anderson,,,,,,,0,0,0,,,,,,,,
202079,Antonio,Anderson,1985-06-05,Memphis,USA,78,215,,1,0,0,1,1,1,-1,-1,-1,2009,2009
1629190,C.J.,Anderson,,,,,,,0,0,0,,,,,,,,
76035,Cliff,Anderson,1944-09-07,St. Joseph's (PA),USA,74,200,26,1,0,0,0,1,1,1967,4,35,1967,1970
76036,Daniel,Anderson,1951-01-01,Southern California,USA,74,185,33,1,0,0,0,1,1,1974,6,92,1974,1975
1507,Derek,Anderson,1974-07-18,Kentucky,USA,77,195,1,1,0,0,0,1,1,1997,1,13,1997,2007
76037,Dwight,Anderson,1960-12-28,Southern California,USA,75,185,20,1,0,0,0,1,1,1982,2,41,1982,1982
1966938154,Eric,Anderson,,,,,,,0,0,1,,,,,,,,
944,Eric,Anderson,1970-05-26,Indiana,USA,81,220,42,0,1,0,0,1,1,-1,-1,-1,1992,1993
246,Greg,Anderson,1964-06-22,Houston,USA,82,250,0,0,1,1,0,1,1,1987,1,23,1987,1997
202815,Jake,Anderson,,,,,,,0,0,0,,,,,,,,
202341,James,Anderson,1989-03-25,Oklahoma State,USA,78,213,5,1,1,0,1,1,1,2010,1,20,2010,2015
76040,Jerome,Anderson,1953-10-09,West Virginia,USA,77,195,21-23,1,0,0,0,1,1,1975,3,53,1975,1976
1626147,Justin,Anderson,1993-11-19,Virginia,USA,77,231,,1,1,0,1,1,1,2015,1,21,2015,2021
72,Kenny,Anderson,1970-10-09,Georgia Tech,USA,73,168,,1,0,0,0,1,1,1991,1,2,1991,2004
203198,Kevin,Anderson,,,,,,,0,0,0,,,,,,,,
76041,Kim,Anderson,1955-05-12,Missouri,USA,79,200,42,0,1,0,0,1,1,1978,7,146,1978,1978
203937,Kyle,Anderson,1993-09-20,UCLA,USA,80,230,12,1,1,0,1,1,1,2014,1,30,2014,
196294559,Lachlan,Anderson,,,,,,,0,0,0,,,,,,,,
76042,Michael,Anderson,1966-03-23,Drexel,USA,71,184,10,1,0,0,0,1,1,1988,3,73,1988,1988
76043,Mitchell,Anderson,1960-09-23,Bradley,USA,80,195,11,0,1,0,0,1,1,1982,2,36,1982,1984
98,Nick,Anderson,1968-01-20,Illinois,USA,78,228,5,1,1,0,0,1,1,1989,1,11,1989,2002
76045,Richard,Anderson,1960-11-19,California-Santa Barbara,USA,82,240,35,0,1,0,0,1,1,1982,2,32,1982,1989
76046,Ron,Anderson,1958-10-15,Fresno State,USA,79,215,35,0,1,0,0,1,1,1984,2,27,1984,1993
201583,Ryan,Anderson,1988-05-06,California,USA,81,240,,0,1,0,0,1,1,2008,1,21,2008,2019
1000,Shandon,Anderson,1973-12-31,Georgia,USA,78,215,,1,1,0,,,,1996,2,54,1996,2005
335,Willie,Anderson,1967-01-08,Georgia,USA,80,200,35,1,1,0,0,1,1,1988,1,10,1988,1996
76048,Wally,Anderzunas,1946-01-11,Creighton,USA,79,220,21,0,0,1,0,1,1,1969,2,25,1969,1969
1627882,Andrew,Andrews,,,,,,,0,0,0,,,,,,,,
1962937812,Zach,Andrews,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2017,2017
101149,Martynas,Andriuskevicius,1986-03-12,Zalgiris,Lithuania,86,240,,0,0,1,,,,2005,2,44,2005,2006
43230,Brody,Angley,1986-01-30,,,,,,0,0,0,0,0,1,-1,-1,-1,2014,2014
1629132,Braian,Angola-Rodas,,,,,,,0,0,0,,,,,,,,
76049,Don,Anielak,1930-11-01,Missouri State,USA,79,190,12,0,1,0,0,1,1,1954,3,26,1954,1954
196295097,Alec,Anigbata,1995-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,,
1628387,Ike,Anigbogu,1998-10-16,UCLA,USA,82,250,,0,0,1,1,1,1,2017,2,47,2017,2018
41005,Michailas,Anisimovas,,,,,,,0,0,0,,,,,,,,
76050,Michael,Ansley,1967-02-08,Alabama,USA,79,225,54,0,1,0,0,1,1,1989,2,37,1989,1991
1512,Chris,Anstey,1975-01-01,South East Melbourne,Australia,84,249,22,0,0,1,0,1,1,1997,1,18,1997,1999
1630828,Alex,Antetokounmpo,2001-08-27,,Greece,80,214,29,0,1,0,1,1,1,-1,-1,-1,2025,
203507,Giannis,Antetokounmpo,1994-12-06,Filathlitikos,Greece,83,243,34,0,1,0,0,1,1,2013,1,15,2013,
1628961,Kostas,Antetokounmpo,1997-11-20,Dayton,Greece,82,200,37,0,1,0,1,1,1,2018,2,60,2018,2020
203648,Thanasis,Antetokounmpo,1992-07-18,Panathinaikos,Greece,79,219,43,0,1,0,1,1,1,2014,2,51,2015,
2546,Carmelo,Anthony,1984-05-29,Syracuse,USA,79,238,7,0,1,0,0,1,1,2003,1,3,2003,2021
1630175,Cole,Anthony,2000-05-15,North Carolina,USA,74,185,,1,0,0,0,1,1,2020,1,15,2020,
21,Greg,Anthony,1967-11-15,UNLV,USA,73,180,50,1,0,0,0,1,1,1991,1,12,1991,2001
201202,Joel,Anthony,1982-08-09,UNLV,Canada,81,245,30,0,0,1,1,1,1,-1,-1,-1,2007,2016
203544,Pero,Antic,1982-07-29,Olympiacos,Macedonia,83,260,6,0,1,1,0,1,1,-1,-1,-1,2013,2014
196295061,Grant,Anticevich,1995-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,,
196294553,Jonah,Antonio,,,,,,,0,0,0,,,,,,,,
1628384,OG,Anunoby,1997-07-17,Indiana,United Kingdom,79,240,8,1,1,0,0,1,1,2017,1,23,2017,
2644,Rick,Apodaca,,,,,,,0,0,0,,,,,,,,
203951,Keith,Appling,1992-02-13,Michigan State,USA,73,185,,1,0,0,1,1,1,-1,-1,-1,2015,2015
2737,Rafael,Araujo,1980-08-12,Brigham Young,Brazil,83,270,55,0,0,1,0,1,1,2004,1,8,2004,2006
76053,Stacey,Arceneaux,1936-02-17,Iowa State,USA,76,210,,0,1,0,0,1,1,-1,-1,-1,1961,1961
76054,Nate,Archibald,1948-09-02,Texas-El Paso,USA,73,150,1,1,0,0,0,1,1,1970,2,19,1970,1983
2425,Robert,Archibald,1980-03-29,Illinois,Scotland,83,250,34,0,1,0,0,1,1,2002,2,31,2002,2003
196295064,Chris,Arcidiacono,1995-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,,
1627853,Ryan,Arcidiacono,1994-03-26,Villanova,USA,75,195,,1,0,0,1,1,1,-1,-1,-1,2017,2023
76055,Jim,Ard,1948-09-19,Cincinnati,USA,81,215,34,0,0,1,0,1,1,1970,1,6,1974,1977
2240,Gilbert,Arenas,1982-01-06,Arizona,USA,76,215,10,1,0,0,0,1,1,2001,2,30,2001,2011
43231,Liraz,Ariely,1992-11-23,,,,,,0,0,0,0,0,1,-1,-1,-1,2014,2014
2772,Trevor,Ariza,1985-06-30,UCLA,USA,80,215,,0,1,0,0,1,1,2004,2,43,2004,2021
76056,Paul,Arizin,1928-04-09,Villanova,USA,76,190,11,0,1,0,0,1,1,1950,,,1950,1961
76057,Joe,Arlauckas,1965-07-20,Niagara,USA,81,230,53,0,1,0,0,1,1,1987,4,74,1987,1987
1631317,Adonis,Arms,1998-06-26,Texas Tech,USA,,,,0,0,0,1,0,0,-1,-1,-1,,
769,B.J.,Armstrong,1967-09-09,Iowa,USA,74,185,11,1,0,0,0,1,1,1989,1,18,1989,1999
76061,Bob,Armstrong,1933-06-17,Michigan State,USA,80,220,19,0,0,1,0,1,1,1955,-22,-22,1956,1956
2220,Brandon,Armstrong,1980-06-16,Pepperdine,USA,77,185,1,1,0,0,1,1,1,2001,1,23,2001,2003
353,Darrell,Armstrong,1968-06-22,Fayetteville State,USA,73,180,10,1,0,0,0,1,1,-1,-1,-1,1994,2007
200756,Hilton,Armstrong,1984-11-23,Connecticut,USA,83,235,57,0,1,1,1,1,1,2006,1,12,2006,2013
76060,Paul,Armstrong,1918-11-01,Indiana,USA,71,170,3,1,0,0,0,1,1,-1,-1,-1,1948,1950
1642379,Taran,Armstrong,2002-01-15,"Cairns, Australia",Australia,77,190,1,1,0,0,1,0,0,-1,-1,-1,2024,2024
196294551,Taran,Armstrong,,,,,,,0,0,0,,,,,,,,
76059,Tate,Armstrong,1955-10-05,Duke,USA,75,175,14,1,0,0,0,1,1,1977,1,13,1977,1978
76062,Jesse,Arnelle,1933-12-30,Penn State,USA,77,220,15-18,0,1,0,0,1,1,1955,2,13,1955,1955
76063,Jay,Arnette,1938-12-19,Texas,USA,74,175,21,1,0,0,0,1,1,1960,2,9,1963,1965
547,Arnold,Arnold,,,,,,,0,0,0,,,,,,,,
76064,Bob,Arnzen,1947-11-03,Notre Dame,USA,77,205,21-30,0,1,0,0,1,1,1969,8,103,1970,1970
2306,Carlos,Arroyo,1979-07-30,Florida International,Puerto Rico,74,200,45,1,0,0,0,1,1,-1,-1,-1,2001,2010
590,Ender,Arslan,,,,,,,0,0,0,,,,,,,,
201589,Darrell,Arthur,1988-03-25,Kansas,USA,81,235,00,0,1,0,0,1,1,2008,1,27,2008,2017
76065,John,Arthurs,1947-08-15,Tulane,USA,76,185,12,1,0,0,0,1,1,1969,6,73,1969,1969
1628503,Jamel,Artis,1993-01-12,Pittsburgh,USA,79,213,0,1,0,0,1,1,1,-1,-1,-1,2017,2017
1962937170,Netanel,Artzi,1900-01-01,,,,,,0,0,0,0,0,1,-1,-1,-1,2015,2017
1626165,Brandon,Ashley,,,,,,,0,0,0,,,,,,,,
201600,Omer,Asik,1986-07-04,Fenerbahce,Turkey,84,255,3,0,0,1,0,1,1,2008,2,36,2010,2017
355,Vincent,Askew,1966-02-28,Memphis,USA,78,210,,1,0,0,0,1,1,1987,2,39,1987,1997
173,Keith,Askins,1967-12-15,Alabama,USA,80,215,2,1,1,0,0,1,1,-1,-1,-1,1990,1998
76068,Don,Asmonga,1928-02-15,Alliance,USA,74,185,,1,0,0,0,1,1,-1,-1,-1,1953,1953
202213,Connor,Atchley,,,,,,,0,0,0,,,,,,,,
76069,Richard,Atha,1931-09-21,Indiana State,USA,74,190,7,1,0,0,0,1,1,1953,,,1955,1957
196294582,Yonatan,Atias,,,,,,,0,0,0,,,,,,,,
1088,Chucky,Atkins,1974-08-14,South Florida,USA,71,185,17,1,0,0,0,1,1,-1,-1,-1,1999,2009
1626276,Darion,Atkins,,,,,,,0,0,0,,,,,,,,
76070,Alvin,Attles,1936-11-07,North Carolina A&T,USA,73,175,16,1,0,0,0,1,1,1960,5,39,1960,1970
76071,Chet,Aubuchon,1916-05-08,Michigan State,USA,70,137,,1,0,0,0,1,1,-1,-1,-1,1946,1946
1641914,Chase,Audige,1999-06-29,Northwestern,USA,,,,0,0,0,1,0,1,-1,-1,-1,,
278,Stacey,Augmon,1968-08-01,UNLV,USA,80,213,2,1,1,0,0,1,1,1991,1,9,1991,2005
1627811,Zach,Auguste,,,,,,,0,0,0,,,,,,,,
201571,D.J.,Augustin,1987-11-10,Texas,USA,71,183,4,1,0,0,0,1,1,2008,1,9,2008,2022
200788,James,Augustine,1984-02-27,Illinois,USA,82,235,40,0,1,0,1,1,1,2006,2,41,2006,2007
1627649,Brandon,Austin,,,,,,,0,0,0,,,,,,,,
1134,Ike,Austin,1969-08-18,Arizona State,USA,82,288,,0,0,1,0,1,1,1991,2,48,1991,2001
76073,John,Austin,1944-08-31,Boston College,USA,72,170,34,1,0,0,0,1,1,1966,4,38,1966,1966
76074,Ken,Austin,1961-07-15,Rice,USA,81,205,34,0,1,0,0,1,1,1983,5,101,1983,1983
1643113,Zack,Austin,2001-08-11,Pittsburgh,USA,,,,0,0,0,1,0,1,-1,-1,-1,,
558,,Austin,,,,,,,0,0,0,,,,,,,,
56070,Vule,Avdalovic,,,,,,,0,0,0,,,,,,,,
1630166,Deni,Avdija,2001-01-03,Maccabi Tel Aviv,Israel,80,228,8,0,1,0,0,1,1,2020,1,9,2020,
138,Anthony,Avent,1969-10-18,Seton Hall,USA,81,240,30,0,0,1,0,1,1,1991,1,15,1992,1999
76076,William,Averitt,1952-07-22,Pepperdine,USA,74,170,15,1,0,0,0,1,1,1973,4,55,1976,1977
1895,William,Avery,1979-08-08,Duke,USA,74,180,30,1,0,0,0,1,1,1999,1,14,1999,2002
196294083,Niv,Avidan,,,,,,,0,0,0,,,,,,,,
1627938,J.J.,Avila,,,,,,,0,0,0,,,,,,,,
76078,Dennis,Awtrey,1948-02-22,Santa Clara,USA,82,235,20,0,0,1,0,1,1,1970,3,46,1970,1981
1630555,Joel,Ayayi,2000-03-05,Gonzaga,France,76,180,,1,0,0,1,1,1,-1,-1,-1,2021,2021
202970,Gustavo,Ayon,1985-04-01,Baloncesto Fuenlabrada,Mexico,82,250,,0,1,1,0,1,1,-1,-1,-1,2011,2016
2148,Mark,Ayotte,,,,,,,0,0,0,,,,,,,,
201965,Jeff,Ayres,1987-04-29,Arizona State,USA,81,250,19,0,1,1,1,1,1,2009,2,31,2009,2015
1629028,Deandre,Ayton,1998-07-23,Arizona,Bahamas,84,252,5,0,0,1,0,1,1,2018,1,1,2018,
101235,Kelenna,Azubuike,1983-12-16,Kentucky,United Kingdom,77,215,4,1,0,0,0,1,1,-1,-1,-1,2006,2011
1628962,Udoka,Azubuike,1999-09-17,Kansas,Nigeria,83,270,27,0,1,1,1,1,1,2020,1,27,2020,2023
1629819,Yudai,Baba,,,,,,,0,0,0,,,,,,,,
203569,Chris,Babb,1990-02-14,Iowa State,USA,77,225,52,1,0,0,1,1,1,-1,-1,-1,2013,2014
202337,Luke,Babbitt,1989-06-20,Nevada,USA,81,225,22,0,1,0,1,1,1,2010,1,16,2010,2017
76079,Milos,Babic,1968-11-23,Tennessee Tech,USA,84,240,00,0,0,1,0,1,1,1990,2,50,1990,1991
41002,Stepas,Babrauskas,,,,,,,0,0,0,,,,,,,,
76080,Johnny,Bach,1924-07-10,Fordham,USA,74,180,17,0,1,0,0,1,1,1948,,,1948,1948
203947,Jordan,Bachynski,,,,,,,0,0,0,,,,,,,,
